BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
1-palmitoyl-GPA (16:0),Lysolipid,521951.03,191758,161775,519350,238594.02,292264,217067,219434.98,192147,236980,134836,581684,215802,499900.03,172916,315334,542369,181242,470497.97,287767,193364,292465,375087,510677,341835,167614,291104,386949.03,436856,126253,437437,453482.97,619788,329100,345243,339412,176291,273081,159323,439621.97,346319,432634,163453,799596.94,242974,98254.99,410052.03,352542,148823,333501,621261,539116,574114,537850,255901,295741
1-linoleoyl-GPA (18:2)*,Lysolipid,1101580,1102525,457553.97,1115302,603308,761819,542027,814501,456600,1022115,696311,1221641,630219,728658,748288,648646,744905,539618,745972.94,917077,177067,751081.94,516242,842564.06,579674,442414.97,947726,1089286,794481,435857,1011127,732047,1234824,635231,1222432,666267,599875,1096685,375505.03,1058720,317145,1462117,587959,737306,854091,561131,623258,653869,437903,585593,1133209,922964,1483125.88,794717.94,579233,796228
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Plasmalogen,3969842,6514361,3374742,5030666,5190366,4720243,3689810.25,5866875,2587949,4570062,5564929,3635676,4762591,4729170,4629599,4062109,3690707,5442306,4369697,6148946.5,5865267,3564025,3952279,5371947,2935922,2044591,6473336,5886785.5,4162545,6484291,2943453,6847870,6578699,8254987,5122229,3107771,3987032,5944773,7519379,3897771,3250641,6313392,3698354,2833787,5429406,5376623.5,4106347,5369250,6824606,4044431.75,6890256,7566997,5235427,3390760,5000261,3966501
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Plasmalogen,3364495,6428076,2109274,4284800,3318378,4834453,3008810,6256624,2657435,4103341.25,4332865,3766311,4669139,5213996,3861830,3602522,2830739,4648506,3726434,4119784,2138644,4055266,1921403,4842751,2035738,1289853,5093503,4475457,2631381,5528166,2378836,5079442,6426719,7865461,5764064,4203518,2438366,6872171,3339004,4249614,1257601,7221426,2584964,1767797,3978492,5123428,2559853,3702001,4797485,4381196,5483113,6566806,5264800,3247634,3343803,4112461.75
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Plasmalogen,6020622,11029434,7060099,9505755,6513869,7128834.5,5598665,5357990,3684877,8159013,7177014,6377914,5539495,5533074,7809613,6349890,4578935,7158090,6529613,5670130,5818352,5438103,6552471,6162744.5,4874990,4279422,7162588,6340644,6419754,9951688,4946061,6129345,8735907,8066708,5382877,4148281.25,5452840,7272478,10633991,5576130,5092500,7562739,5647642,4876229,5145511,7207618,6575954,8813080,4738840,5391791,9485491,5580259,7011339.5,4824965,6377655.5,5457731
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Plasmalogen,26961362,41348896,20569654,32380572,31808496,27744320,21799504,25149950,15884073,29625580,34995384,22559206,31403592,35389016,29876668,22625088,25932916,48364972,33424168,38738496,26455388,20561728,33673336,27649100,22337186,15428147,40751896,49322912,40171024,47342584,16877042,32673328,44219984,66660500,32037766,32918314,25733328,41341088,37377208,24599372,24401708,29773510,24563584,20919216,29726620,45409664,35111192,35710656,31568652,22785628,42374132,50467212,39516656,28095230,26994190,33118112
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Plasmalogen,8169209,13758623,10659467,13062716,9268197,9514016,10278749,8301570,5789301,13511413,8843056,8045995,7736591,7673996,10764087,8428704,7282442,9669920,9021537,9189505,19642188,7215731,7132020,9926152,7163605,6740270,10560306,8916761,7671840,13254329,6786852,10536552,10861909,13099631,6959976,5637575,10886060,7506719,29779994,6859054,6112732.5,11527837,9523664,7753037,10865705,10256819,7870123.5,10862994,8223603,7414071,13482306,10507423,8819824,6330994,13000328,6103345
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Plasmalogen,4437282,6020431.5,4391033,6414658,5412710,4802866,3657722,7359569,2742592,4461659,4506726,4096300,4854840,4630199,4922213,4169446,3743483,5590150,4451237,3973084,14403637,3481048,4479307,5430425,2924000,2212498,7562718,5910472.5,3869532,7648747.5,3681905,6194429,6700525,13413267,4412662,4004078,4266176,5583519,21183456,3608782,3020854,7526057,3410529,3984900,7193450,5592868.5,3820915,6356570,7398690,4346318,6022595,11191251,5151174.5,2905836,5411718,4240260
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Plasmalogen,19928628,28075600,15131846,27880248,16258090,21078084,16767217,28807020,12273765,22128980,16119384,19289522,19898350,21068646,16416194,16779564,13548778,16293223,19709456,15370348,15052969,21419736,11456169,21698430,8989210,7697444,25776940,20204824,11145977,24144032,14151952,17368636,24441980,40154800,22389272,15588446,12705900,26645938,23896436,22910722,6923236,31947884,12115396,11242747,23445046,20635664,10443106,18168826,20312600,16122286,20337388,26380826,25620104,11606886,18023128,18748058
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Plasmalogen,17883444,29325708,18337102,25375592,30841476,30096408,16209576,16435997,11783001,23578874,19101412,18556056,20018046,23441392,25465388,19317944,18932164,34414984,25063742,15857308,37552400,11032010,19810792,22740458,18022028,15798578,19159820,21866226,25131506,44593360,12307297,13784514,20947720,65211428,21608530,18543952,21490352,22207750,51967740,12452985,16105281,25904308,23356952,15732979,20403078,21980766,22006884,30303392,19214084,14834707,22460632,39908160,23398010,14134960,24751522,20780692
