BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
gamma-glutamylglycine,Gamma-glutamyl Amino Acid,4442376,3801488,6338586.5,4600630,4568880,5261286,6674579,4838305,1557652,4491434,5047915,5378169,3571637,5572722,4774775,4730458,2790964,3096676,3631656,8677285,3075736.25,6120794.5,5660457,3585116,4725742,3980721,4281004,4978770,3170596,2904547.25,4046011,3846952,4161022,3694708,6175227.5,2975324,5318068,5143354,4216598,7574416,5863792,5783611.5,5601973,5204717,4752004.5,4942875,3004705,4271132,3203932,1659272,5191010,4688834,7404816,4606234,5085685,6094192
gamma-glutamylhistidine,Gamma-glutamyl Amino Acid,1064809,1039725,1044557.06,1100658,1203179,1517797,990190.06,935738,584773,761684,1231861,974157.94,907535,1132187,905237,1020236.94,893191,863115,1003715.94,1209941,311640,1090303,913751,651264,847499,718922,859705,1016272,1208640,736975,1107754,760843,885233,731378,911149,950064,877485,1010191,587748,1068225,1015709.06,925283,880102,848495,872571,1032094.06,1082142,830461,931134,613500,1062093,899400,967247.94,1169045,973027,1379081
gamma-glutamylisoleucine*,Gamma-glutamyl Amino Acid,523126,354014,310480,397875,412850,517127,409638,282882,175466.98,243842,360487,338964,178974,222533,242826,317167,208088.98,267791,239177,226897,264928,294805,478688,449872,282757,253600,303967,315894,347594.03,557896,294204,224747.98,232003,207680,318084.03,310912,246402,374322,509434,215760,532557,165368,363593.97,328782,275112,201367,272886,204223,529019,137311,305489,351397,315120,300411,202646,497202
gamma-glutamylleucine,Gamma-glutamyl Amino Acid,1621045,1024140,792671,1037503,1182296,1829785,1137722,847670,543911,819129,1104109,1248766,805966,897138,910650,1198101,696564,932345,928738,707389,990207.06,796877,1381570,1064290,730087,887253,590664,932596,1200951,1585665,961179,898464,799546,855945,860835,1299061,828426,802210,1408417,739134,1379462,1021847,1433279,764981,839792,683416,1048513,876557,1484796,613018,974282,844962,995933,1074570,828386,1106505
gamma-glutamyl-alpha-lysine,Gamma-glutamyl Amino Acid,2078903,1912794,1859169,2001804,2392908,2950118,1476905,1273061,799878,1305100,2044473.13,1316514,1719939,1868142,1339987,1884037.13,1480848,1333579,1922044.88,1194800,1145777,1860979.13,2250567,1105569,1487175,1205168,1374107,1726866,2142846,1098460,1544033,1742351,1633866,1811944,1785893.13,2277338,1662845,1952292.13,1929288,1220738,2182603,1062878,1610394,991334,1498559,2072445,1827142,1695967,1967257.13,974285,2218230,1703910,1982016.88,1713479,1744554,2819468
gamma-glutamyl-epsilon-lysine,Gamma-glutamyl Amino Acid,711046,583938,737149,755943,979636,767738,746030,564865,879783.94,446181,691370,759978,1617603,706715,593352,752139,1445257,637816,636621,695877,684637,821220.06,695466,478814.03,767379,1275542,748454,963421,632113,506844,569756,1708915,588451,608369,857029.94,1860697,772966.94,639703,992449,546790,823425,326845,456397,430509,653792,638020,515373,1468310,810986,796865,950915,612428,894415,801893,880111,930171
gamma-glutamylmethionine,Gamma-glutamyl Amino Acid,1163579,751910,788726,953040.06,864224.94,1188656,865774,712367,397931,662560,838096,827871,796594,812183.94,619591,710975,439470.03,518045.97,684553,821688.94,378224,1248791,947509.06,485242,703931,604550,519955,738084,810336.06,456415,670041,664076,667419,593070,868174,1091377,591312,807219,475583,1049247,1099619,788600,689379,592941,530483,781925,695764,672699,725539,472062,777721,650785,959247.06,1034627.06,599136,990516
gamma-glutamylthreonine,Gamma-glutamyl Amino Acid,1514580,1124100,1165047,2663849,1612788,1607292,1030794,1103134,663860,848846,1641577,1373942,1271238,1166398,1223568,1154969,844480,658422.06,989564.06,1227030,452718,1208811,1478188,1006071,1104793,932492,721022,1112123,1117777,583223,1098196,1302106,835719,907502,2032019,1155953,1274361,1290041,968539,833420,1246516,887385,1581389,832383,1044548,1452856,939220,913359,911145,725164,944844,967491,1841959,1065885,1286949,1972748
gamma-glutamylvaline,Gamma-glutamyl Amino Acid,2091945,1205504,1021271,951456,1924949.13,2141545,1558793,1733717,396955,705867.06,2144422,1235671,674525,1132252,504817,1648285.88,876895.06,1007670,913508,270234,1595739.88,766599.94,1391958,1422550,664540,861353,400337,1485194,2025767,2954884,415782,1461621,1133396,1684106,1532104,1566830,1140228,659240,2243618,927208,973447,540276,1366618,754770,489961.03,1344234,1360752.13,1344977,890125.06,938155.94,1460826,1962625,1572333.13,1433826.88,706273,1144851
carnosine,Dipeptide Derivative,96797,278191.59,154253.41,165481,164400,477860.91,683452.88,1315494.5,78230,153507.59,226729,347589.41,200038.3,119411.2,207099.41,154804.7,298505.41,133151,78654,189713.91,106456,640319.69,211446.5,519689.41,247399.2,768011.31,1453125.25,388107.81,55690.3,130980.8,2789657.25,20851.4,217766.98,131375,409702.31,129857.91,264107.59,179961.3,145869.2,181586,166430,916134.88,304547.59,565362.88,1010339.19,176403,,142237.59,876794.38,,196537.3,43964,359211.91,91701,236985.7,194044
N-acetylcarnosine,Dipeptide Derivative,4958608,1357227,1940491,2410258,2553222,3821395,1136950,1772316,381172,1982299.13,1702694.13,4202722,1582144.88,1882214,1717849,1733873.88,798759,759991,1803774.13,2209067,715892,982760,5404420,558581,1682089,2100863,1282361,1031481,2411120,884534,1138343,494141.97,3124530,869993,1305341,2603172,815929,2549564,1252062,1038945.06,4079196,957518,2179958,2359378,1241251,826037.94,2399318,922206,1081662,563788,2977901,796193.06,1764866,2340116,1273280,2252508
homocarnosine,Dipeptide Derivative,823803.31,1697451.5,1245793.75,763219.81,876278,1820385.25,1824777,1353054.63,943798,1124571.25,979689.25,1101133.13,769456.5,856193.69,1396483.25,758441.69,1059244,870499.63,914269.63,591996.63,734484.19,1421012,811301.5,1255620.13,1041828.81,1799341.38,1185340.13,1376747,622206.5,1095458.5,3150517,309655,864707.63,668270.38,1096857,948594.31,682708.69,1088071.25,1354802.63,1175777,600962.31,1568498,790024.38,2448168.75,,981419,418085,698849.5,2443660.5,301045,1134041.63,547245.38,847589.31,821198,947495,898750.5
isoleucylglycine,Dipeptide,325728,720427,1076552,1132489,1142934,882239,489530,507747.03,363505,409581,579490,1015069,457787,740037,396540,678310,562060,481732,758478,323669,454522,559495,218473,449808,476525,455824,507676.97,479175,439631,447328,584081,281849,289039,561583,789973,419150,366700,1078338,606483,682387,341755,613280,696472,455752,502206.97,332270,577668,318077,478643,183496,344112,476195,766372,416759,668633,1137467
"1,5-anhydroglucitol (1,5-AG)","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",93950384,90711376,61273900,83093696,46239320,89133552,98442984,81840312,46760088,63166968,115330488,96512656,46607576,65392080,85081176,71949120,69722656,49877296,66479684,79504192,18573200,84700176,61135980,62119124,113368288,67430664,79982440,83888728,47425912,42846648,57568804,34372516,70775680,44425648,63731660,76878528,46280376,71292248,21690220,73456840,66113132,60209636,123254288,82846264,87121264,76323872,52053544,29179458,77120040,20012208,76323128,36735120,56148156,88041152,56504472,77119832
glucose,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",525704640,463900928,455853536,465334560,502817984,500351296,406543872,468898048,340745696,504862816,570575616,489098848,414270560,459948672,546829568,512336992,430611776,491757792,416974176,475671264,438043744,454972256,490244640,392505472,482320192,432840160,474566528,524981600,430603552,372597952,568164352,454387744,504683808,491819552,517718400,511997856,507241504,513927552,454350208,513532512,502290016,478559200,493035648,532221440,453551200,511995008,478236704,370203904,461114240,312077120,504905056,538083968,476175168,512492032,460475328,460169248
3-phosphoglycerate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",539636,974331.94,1279726,1363396,1299958,352434,753507,1392706,324617,951973,1232107,905043,958733.94,1088997,1151773,975482,795842,1397816,1223989,1294508,612590,359505,932859.94,682048,362376,291440,735953,1401379,622999,262828,472122,579063,564010,992319,1030770,212382,623992,499263,1273507,987048.94,1117987,1109372,672070,571044,746103,1250304,711920,995003.94,645874,435994,1036717,1998993.13,2082935.13,638149,1278433,918143
pyruvate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",36726672,27577474,24519784,15686271,26965084,15976182,24685452,16510618,28624168,30157206,16019494,20298796,23934332,16281458,30545358,19997638,15795478,23003506,20584488,22418980,19072704,47067168,30924566,15148612,25001760,23234676,25067792,77857504,25775474,13094206,23142402,32065162,33175176,43743904,25264134,21334456,14027988,24679178,25363582,41377104,23015976,15043400,15523156,35456064,25568100,40096536,41778176,17241824,19745350,17420736,46783288,27050792,41560068,28763148,17274220,27283516
lactate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",233178112,156979968,181916992,101274816,157450432,127261632,135614000,113652448,169384064,114995112,143854704,144475552,164837360,129447072,181402768,139507824,96992448,164344864,112592856,162912272,141846368,766561472,147875168,136734944,212864224,116340920,151628848,720857280,132011888,108847376,156063424,316311008,173120448,447604064,158677216,115922248,109535848,158074912,147568720,238977664,118490128,78294896,96879056,180013808,158071296,293353056,160041696,98738248,117037968,186184528,233347744,196464224,201000416,190435952,131522064,176103008
glycerate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",23793904,53023856,39978888,46000340,38568760,51385108,44090508,45103772,25569236,45137192,38717536,32120780,36212544,43889768,54131748,43065100,33487536,64084092,57503216,39596276,34507528,41526876,31972442,23273838,44878508,39044592,46991340,64097640,35986820,38895648,43286200,44516272,40156652,42335776,48948096,18011428,64319296,47988288,45081396,44093512,33515094,29054740,44226792,37461384,44488432,69445344,40263872,29964444,38575684,33450024,52785740,39506280,47226272,29662576,45937296,50779376
ribonate (ribonolactone),Pentose Metabolism,11128413,15855628,11810381,11917705,15099336,10134027,8442806,20898760,11773300,14407407,12350475,13509950,13578161,10329276,17106208,8664363,12405425,12597444,12886222,9730310,15512266,12900027,15880422,8294236,12755005,9685934,14645601,19096760,7760011,16421922,12268783,11155730,14326557,10692821,13312152,8694588,15495056,17219352,13030955,12179758,12792844,12787309,12258562,15107660,13701903,11002244,11484996,11789519,16440261,9796930,12919726,9169741,14309825,10514806,17439408,11154491
arabitol/xylitol,Pentose Metabolism,830297,659496,570626,1271062,834925,497209,818034,733728,660226,696123.06,526684,824313,742071,467633,708659,577546,649297,597574,864556,577375,696180,1024406,899697.06,996204,992813,638652,1167345,1354417,624217,617075,377966,578188,937851.06,1026412,883167,437926.03,976260,962202,460916,524040.03,563804,510944,536940,812365,628092,806208,832128,602883,495487,563239,583741,312957,720042,372054,601627,823099
arabonate/xylonate,Pentose Metabolism,11495492,15762720,8602497,9733120,10876993,8705037,15614318,25234562,9642870,15924339,10192636,13652728,10322454,5968011.5,15200068,11820697,6654107,21092068,13471108,19377408,11375859,10293843,9902752,5944379,13657533,6755729,9366606,18590308,6195682,17643400,10311327,11808143,18001076,9602049,11247006,3908473,12157101,12791343,10031277,9793074,9407958,6986004,12259943,11722405,9477688,14438961,7489061,9782036,10372411,6840081,10213460,7467731,9383096,7347594,12450387,16889918
maltotetraose,Glycogen Metabolism,859650,1316830,899423,1073303,1083597,634767,1330004,1354194,1604368,3890582.75,2393193,1040967,1939288.13,2316168,3099677,817229,1315720,3132580,1674690,1446583,2536702,1577380,4343844,1567182,2624346,1192472,4356393,3209467,1603659,1210390,1977947.88,2328598,2025836,2638075,2511983,2026696,1183047,1970249,2867251,1815053,4353279,1118357,3886809,1895810,1847112.13,1862021,2000785.88,981220,983863,1458958,1282781,1187226,1369967,1498916,1566998,1705605.88
maltotriose,Glycogen Metabolism,1155370,1899689,1372464,1788772,1722199,1165062,1935136.13,2033876,2383669,5861119,3425873,1740986,2926590,3359024,4282912,1078922,2084223,4682929,2929316,2097728,3028797,2293343,5387138.5,2456615,3344935,1638981,5261111.5,3974843,2414463,1632073,3070791,3534815,3025557,3279736,3273383,2882604,1377654,2239638,3915271,2883055,5841774.5,1965161.88,6114556,2777683.75,2582905,2605058,3262911,1324868.13,1538149,2336041,2212788,1510716,2106727,2081111,1636883,2171947
maltose,Glycogen Metabolism,467771.97,455536.03,313903,460213,502215,270388,719104.94,662751,619487,1743240,905409,394645,775521,988378,1260108,133269,663837,1233236,893084.94,570611,791171,864687.94,1184917,837053,963141.94,468481,1261991,1045948.94,584513,450309,909934,1066190,723549,794818,1085868,569209,177542,510840,1001257.94,1064545,1293392,704978,1920551.88,702856,666421,602155,963536.06,358535,598974,611681,629250,427835,507043.97,652596,330879,709348
fructose,"Fructose, Mannose and Galactose Metabolism",4682075,1849313.88,3980567,9063274,5947482,2820705,5182269,9050200,1634893,5816324,5355151,4804252,1787869,2691471,4805607,6728806,2933955,1813339.88,4176590,4789186,7495868,8979093,6284564.5,2988178,8793821,4223924,5805758,5185897,5243559,5724637,6208821,4816925,6280689,6969909,7567931,3042480.25,3830247,6549099,7151928,8061509.5,4248508,10262892,8958247,9730580,5890001,3689425,5897581.5,1673889,7346923.5,2803476,4133890,6729015,4694304,10557698,10783532,6710249
mannitol/sorbitol,"Fructose, Mannose and Galactose Metabolism",3157653.25,3775782,2559423,1955936.88,3514768,2283705,49992016,42511896,1713868,2442177,3754113,3105972.75,2565042,2959313,2731443,3658762,4680332,2334556,2171667,4418101,2429309,2926480,2434407,2144887,2841286,2253087,3549721,4524594,1895906.88,2118313,2901038.25,3655401,2305006,2482210,2414913,2870504,3167128,2277133,3460073,3142760.75,2437675,2752324,2417856,2990014,2514334,2860680,29391242,4067564,2306679,3228976,2698933,2457883,2996873,2890023,2603804,3168819
mannose,"Fructose, Mannose and Galactose Metabolism",7510417,7666271,7546235,9919788,11481973,10281300,5409620,7023299,4864856,7602967,9999696,9675396,5842699,7973385.5,9213641,9889776,7265121,7884549,8037835.5,6836874,10673860,7497766,14173062,7912527.5,8954636,6961798,7065246,7625517,8936692,7102103,8386045,6861986,7845099,7846990,7419497,9996056,7488712,8604840,8962867,6460500,13906679,5916816,11727387,6785524,6426410,7754881,9114035,5634673,8866313,3673404,7730718,8876444,7978598,6885426,7937481.5,8486645
glucuronate,Aminosugar Metabolism,7283279.5,4816465,6600513,8229747,8223522,6245076,8814790,9247133,5269700,5244493,7294755.5,42892144,7183423,6780714,7584593,5708720,7758992,7992617.5,6600919,8877673,15994043,6930570,6702376,6631610,5513767,4944196,7282552.5,8623177,6102217,8632737,6491231,14002510,6532781,7917496.5,8498051,5835899,7835833.5,9188364,17127392,6665868,7228385,6600323,5295954,7477775,6253856,6629535,6454650,3881037.25,5573526,6482041,6741905,8215765,6692323,4754692,7807979,8317091
N-acetylneuraminate,Aminosugar Metabolism,1493600,1209643,1227922,1059253,2253178,1053869,1224520,2538972,878631,801323,1573474,1085142,1367129,1963107.13,2152156,1657651,880413,1736921,957603,1483574,1334573,1382942.88,1549764,1665514,1201650,928248,3113746,2691368,1315636,1189167,1374987,1028364,1238784,1393342.88,2144532,1027960,1415461,1286222,1620183,1818428,1472982,1432879,1004590,1815178.13,1787346,1889996,1737934,692376.06,1163822,621627,1350164,1308210,2914368,890682,1369051,1307554
N-acetylglucosaminylasparagine ,Aminosugar Metabolism,264454,473329.03,419320,608862,426726,268904,332671,438796.03,207291.02,490062.03,397001,325824,319469,568215,599156,420316.03,387890,348440,401276,606757,272074,442627.03,663542,488373.97,423101,282848,622401,467803,580365,544611,406759,397533,361917,412787,414769,245988,412768,358577,500755,287466,648370,280512,444205,380216,350908,727276,471172.03,388072,352060,170564,345124,531051,733181,386643,415163,449115
erythronate*,Aminosugar Metabolism,139076608,122153992,140235024,135378192,175935008,161473600,121831824,155541328,87227360,120449600,137063600,174858880,98823104,119320488,154070160,127564616,81987000,153165520,119144736,106340320,106422696,134945680,156990064,106598112,134908688,107537168,179227472,191754752,95068592,108393640,138400832,120600528,108606872,124793672,129805792,89577232,137853664,125179376,110757624,149021216,148372368,104155248,120053728,170409984,134678416,152359168,109874016,73844712,120170120,65950372,107756592,117714448,136886448,91190032,138205728,138228736
citrate,TCA Cycle,189028368,241790592,241598848,217685872,225424512,260812448,205473328,201302080,190466560,232826096,251360288,228730512,167685024,206428976,240730464,214250320,144264144,217994304,205671296,186586400,188705904,228034096,159495600,228967744,178775360,196997936,231070048,184331968,198335536,187695168,220315920,139299040,160594304,167368432,169117280,169811648,182947216,211378208,240352880,186441760,184471696,177463792,191686736,175027328,217777008,214554256,193365488,129333736,171784576,98198544,170384096,180109568,207142816,138036704,199588192,176836496
alpha-ketoglutarate,TCA Cycle,18580928,21761642,31114116,25969182,32321818,29523832,31359112,31430922,24396658,17750886,29150628,28124160,21692120,36427200,29444860,26569940,15697506,41260608,19754010,21125448,15713373,32568166,20807794,21502106,27025950,29417358,25020200,29901308,20680390,16082451,34634828,24677830,16795244,28764768,19747488,32100178,23062856,23189784,28237526,30101092,28364080,19639064,27323886,55239836,19121474,25130160,28622538,13652758,23897700,13173338,23710148,28610200,26737432,25827004,27857772,28253336
succinylcarnitine (C4),TCA Cycle,1386293,422537,1070342,1535411,1572338,912797,798172,896907,511450.97,571079,668769,793268,847761,708825,554896,697582,855917,439387,1404128,1280499,387461,1120231,1649476,465035,1895083,496099.97,1009018,1499405,993725,382596,871658,859266,849586,965655,577290,1056017,915490,1741253,427568,1003574,1232521,885109,1698981,1100845,650499,644483,1153741,1039135,870988,855461,677318,977854.06,508840,1527976,1120368,2163994
succinate,TCA Cycle,6878780,10628781,9912855,11316836,12967215,10863357,11201785,12095433,7215452.5,9253855,10343534,12643498,10739035,11464621,11092838,11286231,7992995,12484227,10157285,10790505,8813663,19462216,9932435,7220978.5,9947783,10575440,12797454,27273068,11407749,9405902,9834664,9890044,8568933,14485272,10300586,9240858,6812802,13823393,11487093,10914209,10718904,9668866,9658146,13877426,11420072,10483794,13584926,7862384.5,9507284,6962169,9998194,10541154,16252902,9677232,11833847,11109427
fumarate,TCA Cycle,947606,1150146,1413372,1382856,1417208,1383519,1722840,1321403,1318529,1108741,1262111,1565398,1141417,1274124,1457044,1184255.88,845399,1529451.88,1083650,1181363,980999,1542751.13,1026928,989181,1327617,1141864,1493337,2091411,1011039,1003015,1355698,1057322,998720,1312940,1187423,1242967,1039177,1382125,1342989,1309553,1109497,973453,1109085,1824028,1096292,1567647,1262580,867062,1117331,638528,1143990,1198267,1803560,894330,1177015,1305500
malate,TCA Cycle,5319609,6016389,6540177.5,6908980,7124629,6538055,7636580.5,5812761,6921940,5653919,5716471,7725863,5687685,6556936,6733560,5936250,3820147,6710990,4931050,5607656,4421938,8769278,5619227,5190550,7383500,5534534,7485104,8930038,5825385,4921080,6141876,4753181,5052827,6648010.5,6328726,5703587,4252999,6572202,5573832,6341625,5605875,4744489,5983496,7542138,5488155,7554361,6112543.5,3907118,5085729,3495951,6059836.5,5824928,9045802,4927097,5649396,5689833
phosphate,Oxidative Phosphorylation,198044304,233828032,210584560,205841296,197994704,213563552,159797792,172152688,161196256,160341712,190395056,202929264,183021248,163314928,168768128,205440304,178516528,195158368,201871264,175175328,197740448,202189184,147715872,165143536,159403184,160587680,195312288,188142768,166174272,182043296,198616400,144776560,151264192,228289824,196548784,164963376,182834128,228490576,204504976,199595392,143328176,227883344,178892416,183526576,202735248,157928112,194217824,153816432,202405168,131332624,131930856,181646240,198112384,142413552,191751328,199802560
caproate (6:0),Medium Chain Fatty Acid,844806,1316717.13,1017997,7499244,690041,789442,1032406,1065747,2893800,1188935,1235700,975584,889100,1117906,1111801,1265350,775780,1675891,1093158,775010.06,1823208,6628685,6835460,6910592,6716231,841043.94,7545581,11484594,1257530,897252,685695,1068383,7442763,7378886,9292992,1110089,7672951,8508572,1179703,1201282,930537,923102,850435,1910091,1576740,1312254,3070941,877968,1224411,728353,1203555,984941,1199069,596349,1125065,888816
caprylate (8:0),Medium Chain Fatty Acid,2911017,3431086,3117724,10087499,3912416,1888408,2595608,3642636,2045856,5042336,2050934.88,2109631,2494123,2743413,4365177,2821357,2058530.88,5596523,2282504,2433236,4746441,10260230,9905114,15634388,7233238,2799218,11088646,11156472,3194879,2144703,3123961,3190048,9815503,9962282,7354302,2860866,8844864,11616209,2141704,2791665,1636711,2030535.88,1865019,3588757,2884779,3404217.25,2545691,2370187,3698248,1512145,2456216,1868400.88,3732502.25,1262823,2909782,3086257
caprate (10:0),Medium Chain Fatty Acid,22563554,24247136,13771207,17475524,21080696,7592954,12591637,28695474,11891391,39904136,17880432,5525482,11994615,14885341,36133896,21513934,9568885,19745372,10862621,7760963,7769459,15444702,17232082,54738512,11096594,13099447,16196718,13365702,10910103,19694776,11326781,11341715,13829659,11885478,15921393,9877348,17279482,13322333,8011566,11311214,8495884,4436093,10625610,16509319,11327080,12431633,12450348,11752286,9437277,8671996,8499752,11367368,11006619,8601941,11484263,6669915
10-undecenoate (11:1n1),Medium Chain Fatty Acid,4312532,7990030,9084592,9024626,6288692,7444603,8124940.5,13208507,5534033,10299217,8482065,6230176,12360820,11109158,6349159,6841585,3289218,11014542,6664786.5,5782799,12326401,7315393.5,5905795,6490596,5970732,5792232,3126309,5156449,5226761,6864052.5,3783431,4682341,4028402.75,7346305,5059872,5687063,7695611.5,2410925,10035730,3533977,6376051,1696891,5555585,2016844,4919083,8236970,4981833,5273191,3022066,3014633,5477459,8071613,6257297,2576313,7309261,2146681
laurate (12:0),Medium Chain Fatty Acid,42913580,99559152,92626816,71200112,125492952,24485436,41798848,86920696,66356804,129879104,63078024,21263974,62563304,68041392,210347952,87411192,37960700,106879880,48025264,43673624,15720489,29265416,51552112,263340240,35763388,83590376,38882212,18325484,49221328,85668696,42277452,37976060,28868376,46106140,58679172,38222888,87495952,38165656,17714416,33832928,45279052,12854392,51001340,32344228,36913968,31074168,45331512,39375680,49793380,23473820,33227684,69369592,62038592,26583742,74041016,20896100
5-dodecenoate (12:1n7),Medium Chain Fatty Acid,4787437,13270134,11108280,6736367,10550527,3916214,5320974,8770994,8799743,16314442,12557205,4949555,11048532,11835356,26497200,9537847,4841182,8976684,5848754,6816879,6468874.5,3950383.75,5236664,36075352,4571951,11248876,8014429,4300836,9080079,14001094,5603751,4278606,3276839,6094234.5,9896569,4062607,6735920,4353215,5382079,4503324,6805314,2004060,4968538,5132179,7372316.5,8735600,7242027.5,4733385,6900082.5,2306035,4994304,10287310,9434401,2647162,9034048,2622158
myristate (14:0),Long Chain Fatty Acid,171100416,429180480,320562528,240341216,462641760,131495440,207074912,397208224,339881728,523500064,293598624,118944464,292438560,264264912,612519808,394645248,146017216,302990784,197878096,149411952,295629312,217158864,317117024,1124095488,150606256,341589536,190429664,89888904,342568480,479921440,147871600,160360240,130631960,230148640,210875840,173578928,317078080,108616232,245645344,195253088,329265344,56558164,200069632,120582528,148736768,232068160,335551488,202589824,212496128,126088664,193271296,280380512,365857088,128407968,250410304,77011504
myristoleate (14:1n5),Long Chain Fatty Acid,20030860,73511928,53403000,32029932,77837240,13721035,26688768,54399288,55812380,88742784,62436904,19659758,52291976,50839528,125233984,55721936,23875540,36405108,30119656,28402428,85942832,21985520,50852408,193992608,20796692,59597696,41112544,12426525,55681664,79541928,26249512,17609236,13842504,28509484,36012792,16806188,39885568,13514658,59763408,20617432,65763076,4870108,23055592,23504112,33130860,39237344,45114272,27799212,41297472,10379061,26269090,52866548,62930832,10487037,39986644,5925438
pentadecanoate (15:0),Long Chain Fatty Acid,39441356,75074072,54195580,45933288,76075056,39507172,47550836,71829648,58845056,86102464,53164132,34113492,52101936,48583000,91220928,71145136,33313556,50175472,40719112,33831808,104575664,54507360,61994652,137310576,34675608,56963100,29137360,29305208,64301720,84862952,31282832,38304416,35082588,46559876,41063636,37831432,50830724,30360286,90247576,42281492,65011308,24584982,48110832,29009184,27716570,47152252,58944148,41155684,35548004,33011398,42327584,52887608,55487860,30958820,44033392,27783776
palmitate (16:0),Long Chain Fatty Acid,2090933888,3933567488,2859641088,2371603968,3560731904,1924100224,1728659200,3063924736,2894917632,4513429504,3354653696,1901867776,2965947136,3125170176,4542873600,2939555840,1680204672,2703262720,2018963456,2256279552,3593953024,2077675008,3269192704,7448906240,1735399040,3224136192,4449959936,1503333888,3977146880,5199672832,2583719424,1766994944,2215515648,2641119744,2614415360,2141367040,3069449728,2236755456,3063296512,2055251456,3642262528,1224838784,2011809920,1437691776,3251470336,3297203712,3497788160,1875029888,2541041408,1209427328,2324421120,3346512384,3454429696,1434228864,2457862144,1183785728
palmitoleate (16:1n7),Long Chain Fatty Acid,181207984,840173888,745202304,391994656,929693056,238122368,374275456,602265344,841954048,806256896,526583584,269823360,681501120,548224000,1394071808,545099904,152758464,438191904,300326464,363105120,1360312192,257783904,684668992,2138996480,266225200,914835136,712782784,127070608,767902720,1068494592,229466560,161073840,168015136,491225728,492356128,232593696,610930304,251519248,597757632,205638464,881241088,111863664,351800288,174395280,452356096,507027136,707541440,326566176,576599680,144543600,410908608,418547584,1035743744,131574648,489883968,85584736
margarate (17:0),Long Chain Fatty Acid,39132008,86576000,45077464,48175360,70967536,51008672,34069600,74399832,59967232,115101384,65881156,37407356,55503580,54402820,106353736,66512888,30200818,52621764,42532816,29520150,168104784,51018512,68714176,168683616,30846278,53071524,53705324,27054320,75608672,162471488,48071932,31332428,35812360,66368476,37708024,41807624,67208672,37124312,151765760,39728772,69746392,19673172,34018508,26343114,44834564,61844536,66329308,35734484,38549160,23538266,42014156,102859152,46247924,28891166,43913340,18425376
10-heptadecenoate (17:1n7),Long Chain Fatty Acid,18184740,72531672,49400360,28208288,79578192,28155144,25823402,62615684,57846140,71971248,50232484,24069938,55624388,40420132,95796528,52698468,15485934,44476756,25191432,24151756,229118688,25197726,57097228,157454208,17877012,62438420,38125448,12334007,52712612,117453200,20540232,16439973,14123654,52176752,26353576,20970934,59996408,18436196,131336648,18734004,70130728,7533664,27259312,13743892,29764580,42438312,46814388,23760510,36337104,11950714,28300942,60177936,41161324,12176274,46547456,7887937
stearate (18:0),Long Chain Fatty Acid,1158287104,1650686208,1338298624,1413378432,1486313344,1159085056,905604736,1735278976,1453494144,2075326464,1778568192,1265117824,1262289664,1502850560,2191606272,1667011840,979041216,1175264256,1157950208,965043264,2219678976,1375799808,1358656896,2831001856,951917312,1514349696,2271138560,1034436160,1645252608,3083010560,1639438336,784767360,1091221120,1198655488,1324604928,1136566656,1631884160,1247609344,2263156736,1305025152,1262032256,772036672,1057198400,1012825664,1707666688,1616036736,1468914304,918320576,1238812160,779264128,997299712,1630072832,1305665152,933143936,1211755136,734081344
nonadecanoate (19:0),Long Chain Fatty Acid,3051314,4693482,3586729.75,3697087,4282330,3539568,3196793,6381700,4272372,6687067,4227428,3208884,3632748.75,4092520.75,7118498,5018479,2710095,4227701,3471696,2727579,11431716,3941905.75,4010963.25,8086100,2785623,4363834,3717533.25,3197525,3885758.25,7933297.5,4869061,2307813,3136761,3944061.25,3316442,2902449,4330072,3509182,10872923,3054705,3697953,2627427,2681055,2345359,3433754,3444831,3545513.75,2894140,3082487,1914176.13,3381754,5191757,3180376,3008712,3299421,1972656
10-nonadecenoate (19:1n9),Long Chain Fatty Acid,10522466,26950672,17063020,14336925,21487960,12785055,12441492,21795284,22854284,32643970,24396924,12499947,20657680,14097907,38861216,21405012,9238777,18157360,12282625,8594565,62345280,14472159,20523628,43470672,8930601,18036740,15692295,5354040,19977588,44506080,14912241,7967190.5,9085012,18825164,10927674,11358419,22488160,8457168,41958272,9837459,22118572,4528552,10436843,8759554,16984368,24123632,18710518,10383613,11941716,5817785,14775056,25797924,15329747,6567205,15160575,4479140
