BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
indolin-2-one,Food Component/Plant,29907320,24446900,4286758,42999784,21223650,30245168,33275772,1575846,629604,502948,44313696,52479984,24635680,100565144,41014704,1055777,1390334,15016197,26257688,17973780,2849046,673431,50575200,11240976,6868965,112674016,51170732,4004563,1540434,15364673,9318797,7147342,3538289,64188932,1640288,5212717,38898704,33373916,22982352,9738197,2666508,13698083,13729983,75153224,48951904,1361614,40792488,16210408,90339088,2891868,7942504,3105717,2440285,15961856,423036,3396908
methyl indole-3-acetate,Food Component/Plant,,,35607,,,,,,,192348,,,,77365,83376,112152,77996,,,,397641.0313,,119434,,,,,,,149646,161361,297167,,295439,,,,,241262,,,,,,,128327,,34390,,,,,,,94812,54354
naringenin,Food Component/Plant,69058,,124884,99250,140917,,88409,,35571,281889,,,,21032,,,99585,2680294,,,,,,,,42392,,,,887409.9375,,14128,14942479,,,61446.9961,760465,48165,52914.9961,,58565,,39632,,34760,47626,,72216,,,28132,,,,,
nicotianamine,Food Component/Plant,14295139,614691,1263780,825813,238663,611023,1244181,2332715,493451,2878829,955748,1333127,1149654,1902660.875,1226051,2866284.75,748896,378131.0313,197879,1791367,725267,865963,652936,424812,487869,394671.0313,647339,415407,2523239,902432,331956,2169063,322422,598275,1773377,753660,3060119,2157929,487442,3871423,4681497,602280,714054.0625,1391074,1109943,1163232,810287.9375,537580,145644,9270935,739826,1409009,1682299.125,3010987,2168202,2325511
oleanolate,Food Component/Plant,1056023,128105800,,15017738,,351024,10036700,,,1174806,,,,67507536,4017135,,,21403230,54004248,88014336,43257468,777930,3315753,,,4138033.25,,413566,2368091,39617320,,13666297,1241027,234917920,,30527352,3530626,42287812,,,2222842,1467943,,,,1419680,7782900,11919403,28913090,19207982,3108287,150097392,286962,,2419786,2455233
pheophorbide A,Food Component/Plant,77909,1617167,,,,,5296239,8260056,,66131,555585,166770,224368,585353,330691,62811032,197722,1085078,742108,145335,1917770,,,,,,,218157,930666,,,,209046,2687219,,618392,1529523,93261,7791952,,683867,,,,,102767,1027573,1579699,,337700,406564,5682467,,,139280,
phytanate,Food Component/Plant,976351,1209252,473650,1642526,1045608,7213726,3380557.25,1445307,169727,523665.9688,5330654,3861224,1236737,1660813.875,3868522,2693950,3901955.25,373785,4185475.25,,14505119,708584,1706553,3534292.25,4384618,19184868,,951602,4262644,2991326,,2409512,1858675,9264250,1584614,2280943,,967951,24156510,717512,561274,7569232,521738,1688442.875,109595.9922,,8468923,882766,284834,1026931,2064337.875,12324444,646799,8185146,,367320
pinoresinol,Food Component/Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piperine,Food Component/Plant,6257040,313355,,506013,440649984,5760684,2993864,305486,143403,1714210,20973,,6297027,,,392906,9214776,4241339,2021092,113773,190077,,62293352,2419051,14012029,2846356,,27095678,12800422,1375757,2611635,2739467,,969484,128975128,9239737,14910522,3752568,56446,,10168367,,2323343,412060,,213745,2090832,372806,,,,1541695,6308772,213570848,585574,
ponciretin,Food Component/Plant,,,,,504403,,,,,,,,,,,,,1546504,,,,,,,,,,,,373407,,,4424957,,,,461495,,,,,,139363,,,,,,,,,,,,,
quinate,Food Component/Plant,16538898,2378582,329992,761360,,194623,907957.9375,882813,376869,1894366,652167,1146107,926713,1632015,945450,648933,906796,18157352,24173306,118071488,1621832,,1243021.875,1166606,2805215,,446362,93688360,4154623.75,2988384.25,,4207646,541041,270845280,20671704,1895314.875,5058978,84016736,2036060.875,,3601535,909781,311148.0313,236992,26464720,10572680,1952520,949799.0625,,27840632,1663108,54080920,1861005,8999744,23713432,1391396.125
saccharin,Food Component/Plant,36163,156454,,,,,93494,,91676,222896,,10829348,,108653,799677,95981,,5564265,,,,,233716.0156,190636,,,,1524838,92784,,173866,,,91629,,134924,352280,460548,,,297857,209313,,,,369592,148558,,77143,,,195627,,,170430,
acesulfame,Food Component/Plant,,,,,,,,92051,,,,79333,,,,27296,,,,210851,,,80837.9922,841765.0625,1319082,,,,287971,,,,68418,,312576,,324348,9598512,,,8748907,410283,1668173,1934435,,,,,41172,,,,,,,153316
secoisolariciresinol,Food Component/Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,116908,,,,,,,,,51908,,249858,,,,,,,,,,,,397448,,,,554198,
secoisolariciresinol diglucoside,Food Component/Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39712,,,,,,,,,,,,549378,,,,86809.0078,
sinapate,Food Component/Plant,71122,172929,73614,74134,,52523,84894,116079,546623,334243,39425,,99850,185264,49635,29193.002,69497,128510,34157,645242,,41319,30653,50039,71880,,304511,759948,104587.9922,38646,104749,48853,116024.9922,,,88866,197891,72725,,,103741,,85905,54001,1017855.938,145228,,42114,,,47132,,52692.9961,318101,,
solanidine,Food Component/Plant,187154384,711521,115286.9922,994718.0625,248894,1062520,407422,4598526,44267,25397612,38659972,297496160,54214372,12372958,311707,315321,143174,1353030,684448,209836352,,76132,13031475,254746.0156,50832580,,13047872,6519710.5,257512832,11817179,,59806800,113030440,431443520,28031796,80566504,36597640,17909446,715492,11204210,59386,66937572,665416,45349392,42474424,295888320,59120248,46140692,343652,1746080,3055294,11039057,51951296,80226336,35834104,4627080
stachydrine,Food Component/Plant,36838300,5324207,16927794,97371,2019009.875,18221440,10526230,6599460,51400328,11113001,4325908,23183874,818133,2408587,1896135.875,859192.9375,56222864,305112384,1762737,11776185,2752512,426499.9688,13527433,2559943,10722396,1686024,2486269,49578840,47279696,6578727,19084814,2437561,964283392,4634055,745902,16811802,5719881,3917146,6556845,4114586.75,14632229,776527,16513823,1764141,25681422,13109418,24774824,388131,2659074,23220734,2439413,13388830,465174,7274468.5,5395954,4185814
syringic acid,Food Component/Plant,115729,,74273,,,144775,,59539,157854,234614,,,50260,249417,207135,,,188821,230350,1508045,366061,,103857,,,,46759,487131,137111,55607,,172861,,682211,,131010,269905.9688,,42533,,112588,13928,,,356152,80067,152854,240216,,,,71819,,211496,50682,50516
tyrosol,Food Component/Plant,386416.0313,343715,367538.0313,359547,246853,200814,301317,146556,1342017,1199956,165313,71867,331450,583209,215075.0156,185238,678949,558438,334875,338401,206339,303930,264397,388547,798203,504832,254110,315859,629461,150566,629912,201103,608045,415516.0313,98411,410489.0313,455113,541036,357323.9688,192602,399244,96141.9922,600698,629832,168733,169359,742650,226414.9844,748901,450980,593658,489496.9688,267351,212337,344140,462873
hesperidin,Food Component/Plant,,,468900.0313,659342,,,45438,,,,,,,,,,,2451409,,,,,,,,,,,,6764498,,,16189692,,,,3394115.25,,,,,,,,,,,226837,,,,,,,,
