BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
proline,Urea cycle; Arginine and Proline Metabolism,400590784,507338336,395701632,110023888,163080512,266606192,430297792,593813312,180750704,336143200,240976096,393449792,306442560,308597984,451904512,453349504,280715968,202294336,331305856,273119744,768026880,169271632,730884800,366541824,189830400,120669096,505426144,242974544,284800640,403663008,404339328,588688832,195258192,498192736,290031040,398875232,191694864,290081888,363754624,135975904,356775808,461514112,233447408,378304544,396541632,444998144,192705184,231929296,203333616,278696960,305756096,364775968,257381744,479831392,377714176,382415680
citrulline,Urea cycle; Arginine and Proline Metabolism,755892096,259543152,546891264,245172464,276915520,350224960,312381728,548632832,462245984,558455424,267008704,360802784,292047392,388127136,411713856,524022464,522253472,269590016,332357824,544281280,337217568,297493248,879259008,421106528,394017088,199369328,407609728,502381216,358041312,417067488,507579904,598659776,401137216,424474592,286050624,496183104,427006816,511678240,405313984,90188464,498507392,427791776,334198848,602595904,560071360,549204736,296319744,303035808,274096608,443206336,425203392,422405536,259531040,578444544,506317728,468449280
argininosuccinate,Urea cycle; Arginine and Proline Metabolism,154098,174842,,,,,232535.9844,831269,107590,,,70235,,68994,,64057,185284,,,,4871837,,,,,,,144293,,,,2658330,64327,,393780,,279463,,103887.0078,,,,,,70418,,,,,,,,,,316679,
homoarginine,Urea cycle; Arginine and Proline Metabolism,289876,,,,,74486,,256152,,131395,,,,,,239600,,,,,560335,,,,,,,748196,,137859,,1248700,,117056,,,236969,,,,,,,,203826,,,,,119807,,,,,88611,
homocitrulline,Urea cycle; Arginine and Proline Metabolism,3617047,1133035,2442599,186260,1588378,868624,1137008,1939897,3306797,2198567,326583.9688,1114411,1251354,2429260,554149,2725448,1285008,920963.0625,497579,4171240,3014336.25,815871,11330790,711262.0625,586371,232889,845544,1778273,8086030,1255657,1582135.125,1886959,599021,1065916,1008473.938,2136514,1408848,1362907,1701816,413725,1765847,886369,490497.9688,2037665,992824,1093845,4686145,611558,204873,858221,851199.0625,697207,532531,2562979,2647190,921011
norvaline,Urea cycle; Arginine and Proline Metabolism,5285110,3143620,1908019,2424767,9707917,1920934,2934754,3657874,5581694,6252745,,1768896,3315361,6609312,,1713257,18041002,,2968100,4147656,3789628,,3490642,3375160,24685652,121264672,1279290,30582092,9720546,8281666,2735659,17886718,54320752,3474643,2343866,3338302,2385669,2638083,2071985,3022173,11993474,,,12759555,3662216,14485316,2783569,1596411,11164353,5955967,2999627,6010875,1685565,2277764,3655532,
dimethylarginine (ADMA + SDMA),Urea cycle; Arginine and Proline Metabolism,8125036.5,1022150,752583,,616431,4729155,2487250,11101192,8633219,7387994,,,383042,1097056,,1237262,19957364,763364,136202,3347865,20872628,1388104,2392822,354070,999646,159269,944578,17959710,23039092,304947,1438589,11334259,727679.0625,825013,1338425,6478853,6143299,2266005,491105.9688,458536.9688,4250893,195194.0156,2437706,5807394.5,14642680,5326707,842863,,428504,6201628,915596,1345289,,2659634,6430914,1570547
N-acetylarginine,Urea cycle; Arginine and Proline Metabolism,1821520,2250141,2647035,324125,745842,1181658,3302018,3542960.75,1272340,2523761,715718,2264780,1178529,1794606,976205,8590510,2484627,1593796,555790,1326702,2339280,430345,2034101.125,1888427,636132,265865,1261447,390752,1059670,1769949,3793752,2928069,2113180,1598165,1309273,3083080,3915574,1340779,3197920,2489063,2213915,1049860,1399011,2690366,3169212,1801577.875,1392000,1123397,281109,1120005,2386257,2377366,1094224,3503386,6512460,2713769
N-acetylproline,Urea cycle; Arginine and Proline Metabolism,3037516,2396707,1822721.875,1889400,781496,1089094,3290559,7548757,5092281,12817683,3515569.75,1587321.875,3180273.25,925678,2083074,710813.0625,4141591,1738937,1403389,1923305,1181596,1000006.938,2875529,2330361,3309418,3625280,1696252,2650443,717724,6560777,2667120,11069006,1136648,2654423,9093615,1423226,7780216,5004567,2022106,7632686,6107040,6253159,4655614,3282654,2426128,7954797,2384996,2782185,6177238,16577544,1774701,518607.0313,1889990,3031889,13726913,3937781
N-delta-acetylornithine,Urea cycle; Arginine and Proline Metabolism,3082076,1953818,1678346,155795,1564281.875,2115896,2140645,2098069,7713869,3338991,566906,2311255,1685832,1369382,1589666,2553674,1954583,3936296,1085666,3613801.75,1882250,599620,2629170,1198337,14178818,5365901,760024,799531,1704904,1901594,2720423,3072868,3260119,1835533,1397772,5428936.5,2386905,2232654,2501679,140403,3518600,1425840,2127219,2170929,2006527,2816001.25,2347747,1206367,1438759,4321120,2464947,5955412,1109703,3611335,2735808,3084149
N-alpha-acetylornithine,Urea cycle; Arginine and Proline Metabolism,7139327,2563883,5099912,226650,4179756.25,3235585,2723733,3197913,11583119,5193506,3143709,5654516,2547632,3104725,1828027,2931338,5038438,3672585,923020,8077175.5,4188496.75,821311,4318477,3371301,2378882,4770768,11326465,3315571,5014337,2873205,4873607,1871373,5359200,2368015,5697915,6632366,2716737,7572814,2284155,526772,7455618,2583304,2457168,4476708,3646686,3216974,2345503,3246983,822978,4147172,11879029,6074337,1226163,4011368.25,2635088,6776977
N-methylproline,Urea cycle; Arginine and Proline Metabolism,21201280,52132368,92659480,14230596,55692496,224226976,265792272,502089760,57067312,40927620,14520140,2885238,55516440,120115336,108864008,51287020,339068480,30210684,2423087,87837048,99137736,14194739,29895004,287451008,67448456,2139186,,2265659,93158944,235404960,72405656,37776780,317534656,208838224,62277940,66311800,347612288,254536816,30044100,43676460,6045065,5709264,556279744,82216744,4138783,45309472,146859536,4725821,6115069,13218799,4797488,12127490,4004801,22615470,224531920,13002014
hydroxyproline,Urea cycle; Arginine and Proline Metabolism,6482013,2716970,1792767.125,564853,684519,3778940,4860248,2989509,2763603,6101979,1201713,2232965,1833825,2276618,1417662,3621531,2832065,4700006,2065865.125,4313704,28455662,1536602,34201804,1277293,1265224,1209118,2348262,32345434,7369296.5,3066459,7729244,5375329,3989262.75,10798659,2493446,13058705,2425781,4409336,13677470,1577216,6263026,1149048,3569219,1840429,34611288,14034357,1243139,3135487,1592945,12291168,2867390,8736261,1653170,7188259.5,1648699,3107692
N-acetylcitrulline,Urea cycle; Arginine and Proline Metabolism,,234036.9844,205556,172618,98425,54219,104939.0078,146341,390466.9688,175482,446609,276786,192776.0156,213372.9844,388849,123708.9922,,88791,208732,238691,197823.9844,94644,172340,186404,192456,268920,112892,294346,240869,670084,316675,,297863,55011.0039,181520,,268825,,70451,152570,247566,331003,191362,260619,364110,76619,144144,291336,400424.9688,40935,179774,102039.9922,191678,183838,,64030
2-oxoarginine*,Urea cycle; Arginine and Proline Metabolism,3013890,3516765,603385,692016,187310,711420,2297866,2164863,1031694,2574365,1393197,1877935,481512,1022818,389857,1432729,1374710,936014.9375,339406,543275,8653866,345661,2475294,492991,426771,166725,652647,335252,369937,1718419,895176,3535650,1032133,2564743,882207,1925757.125,646470,1008494,6087755,6415582,1170618,657493,717218,703607,2494288,2168989,252856,478279,371325,1160289,529697,595838,522052,1127485,2486205,539295
creatine,Creatine Metabolism,14512322,959215,4685896,628469,841280,2704632,13652571,4585561,3414170,3954920,866296,1257055,1830228,787920,773894,1102205,1098166,854086,2008829,1450599,6840499,2452471,4997802,2035262,665794,638834,4475950,178901104,92146424,2526101,1215340,1267351,1382124,36263652,665682,3686155,530948,934834,2912274,3936430,56810068,1599722,8161397.5,489102,364674720,30077316,1020489,2219690,616484,1251512,1150383,58384056,644334,5137787,1484381,641099
creatinine,Creatine Metabolism,116909224,200396,7246381,162773,95224,549181,417872,1613643,982675.9375,12370874,371974,250460,487509,735068,137120,603318,848415,319327,297068,212388,,,629890,138186,574006,130321.9922,699741,287382592,214095328,315143,85958,,13126091,7981164,290571,2230808,,636432,546676,13002305,9408625,539222,65328072,310306,422686080,112571240,1157643,372751,428394,212054,312379,16723512,275421,478394.0313,,531035
N-methylhydantoin,Creatine Metabolism,7524726,,108910.9922,,,,27290.998,,258015.9844,434479.9688,,,,,,,341634,,,,163112,,,,,,,1323273,1218187,,,,,,,201624.0156,,49790,,241043,214755,,419493,,3107325,1464830,,,,1658421.875,,418984,,,,
guanidinoacetate,Creatine Metabolism,3291703,286078,759112,179992,,,245693,655551,766257,171380,143332,,,,,1700737.125,61203,,,390363,1081299,79473,1637245,32147.002,,,71662,12590522,17384268,134460,,3602148,375776,637941,,288816,66544,,691035,1761770,1578026,115500,2036667,,35504316,805545,153977,,,6603848,,2096606,,150097,944313,
agmatine,Polyamine Metabolism,539350,442373,79847,107163,,,524447,3526068,907923.0625,653101,,259006,,65351,,67393,177259,83335,,65095.0039,15279374,,75166,,,,137380,485289,115959,86078,311556,4202054,110927,73651,346333,254439,1751208.125,99122,399404.0313,120555.9922,,38751,747406,57858.9961,75968,893595,,75420,,287654,,,99011,52025,3589613,96310
acisoga,Polyamine Metabolism,591903,548415,401503.0313,518368,209188,115404.9922,344331,301317,718788,542434,,300793,194123,242144,377501,162630,168349,659557,155449,402949.9688,1770847,164812,433297,414755,113776.0078,121267,1166505,568755,2467106,208354,569293,631876,360256,1062051,337854,390435,338411,380222,727996,333821,559789,371456,371979,245559,9905572,393028.9688,390272,239703,357992,948966,282066,1041919,244769.9844,436117.0313,358829,264531
putrescine,Polyamine Metabolism,3180871,,,,565305,,644170,1061256,7264599,379094,,,276674,3969178,,916982,58482276,1497737,877463,131869,258720,537461,1842149,146695,1192746,,212148,61694840,77660408,,,497083,,,,1606491,9501136,,,,1026323,,1179047,,612280.0625,3732083,4375006,,,511095,,413739,,307890,,1772879
"N1,N12-diacetylspermine",Polyamine Metabolism,11118529,,38616,,20421940,357194,361941,394591,1784732.125,1367268,,,83252,446179.0313,,,733729,334139,,1786464,167770,496732,422929,,379125,,,23824560,829837,162843,92634,835559.9375,2749311,97639,120703,2717216,2804764,1550479,96244,458452,4906072,,391937,87413,113967,13101579,762920,,71750,5828119,816464,1032613,,167022,3864151,3525493.25
spermidine,Polyamine Metabolism,10193511,2523442,1005127,,2297404,2604840,5344433,10498275,753213,4272498,343868,16565373,1035581,3456614,866107,4487991,3012997,3301356,2250968,3080579.25,3021270,334847,11673789,2502332,951791,21793,9067976,6446150,1950157.125,2044497,10456857,11047891,2738307,4624024,4429126,11589987,2331773,1920581,1461168,9676189,8115403,3870741,3001827,2388638,11591777,27974748,688078,349446,204566.9844,5713782,4168749,4295806,2723788,5974958,6445212.5,3629011
5-methylthioadenosine (MTA),Polyamine Metabolism,444406,93584,,,138619,144664,135881,455677,,,,,,150683,,,524529,521293.0313,,317077,,,115271,,252914.0156,,,,303995,,,16568379,322176,,,467077,230085,526204,,59186,144592,,61614,66460,241702,573126,,,,545817,,,,,,253227.0156
N(1)-acetylspermine,Polyamine Metabolism,527370,,,,324155,,,141284,,,,,,,,,,,,,,,,,,,,794929,,,,,,,,104583,,,,,101889.0078,,,,,697216,,,,,,,,,,129698
N-acetylputrescine,Polyamine Metabolism,23789476,1161392,5760012,689153,1834910,2495511.25,3326373,6173798,78133568,7646976,748170,3895827,835853,4091049.25,824405,5330080,793500800,4409866,2771750,7733244,189098560,123628912,5340107,1423756,5507627,1646048,1695208,185469760,964212416,1124025,1322149.125,114431168,3469049,2248651,893191,5885631,284472032,3223665,4075923.75,632709,15366418,1321894.125,2004968,1209154,9196744,15906565,5878166.5,2653197,946945.0625,20585868,3203472,3090685,1004779,5767911.5,22484090,3036213
4-acetamidobutanoate,Polyamine Metabolism,655265,690366,193355,95549,1686376,,2127978,1599901,1518201,2254057,1080369,,767302,2521429,965125.9375,,5831639,734701,435294.0313,2825743,3209610,516908,1903733,,2712211,1557067,,2265003,5252907,1018086,2090126.125,2864609,882329,494981,423550,1287485,3483730,819626,490017.9688,,1509416,,2761612,128433,4645087,1158103,2922260,853562,1537443,1300522,,568568,589651,1892684,2025156.125,685046
1-methylguanidine,Guanidino and Acetamido Metabolism,268546,83969,157579,248457,84422,658673,157198,48361,,264975,454869,364988,307274,231229.9844,219056,290181,433180,154443,223863,126249,202813,,261733,157704,315748,235600.9844,165327,129079.9922,141840,149219,89155,82721,333659,741049,226111,160237,34145,307195,136870,,160970,198999,272241,416509,533355,313592,223491,245709.9844,291281,42978,250917.0156,468440,219010,234364,99433,511374
4-guanidinobutanoate,Guanidino and Acetamido Metabolism,1603437,5759758,1000116,641181,304438,1114769,4706857,13813620,22835940,3497321,2841923,781905,1222527,699415,1311154,4658745,10273199,1765561,959963,807543,8226454,898267,6680084,270855,1185860,2151227,311189,3457843,13019205,2737517,4641078,6815534,7616173,3386969,920370,1855230,3790419,1095053,2767664,4450759,1947970,453270,968806,833829,8265442.5,6274095,927470,1823215,2582633,4238993,3496251,2029149,948105,1519282,10042581,1142487
cysteinylglycine,Glutathione Metabolism,836380,,,,,,222113,95843,,,,,130677.9922,234543.0156,,,552016,459160.0313,,237707,,556753,239124,,,,,864415,267031,,361694,691310,,169933,,,,305815,447622,349032,,,1079540,,531915,234658,,,,570251,,131234,,311714,,108264
5-oxoproline,Glutathione Metabolism,15774610,32257014,5271263,3352862,3215478,7796809,6454889,5646979,2433956,3302512,15696882,6012662.5,5355748,14294326,4293724,28482580,42710216,8956200,18912306,4385268,12121937,1651649,6573674,3233725,4555668,1336112,47746144,4174391,3288443,35852936,5659603,18143096,4786107,5334102,3889148,6744480,5425588,8691870,25580336,1836015.125,6372782,32675558,14125695,6038117,7750042,7332343,3012968,19114068,3010253,2499183,7410356,10959022,4191640,8497500,7596994,6285694
gamma-glutamylalanine,Gamma-glutamyl Amino Acid,282929,487603,287728,132680,179532,125798,439884,790391,154473,161761,112925,528045,223419,665541,340620,1032133,237177.0156,204917.9844,249640,741545,378702,,1032028,357161,181445,163761,228676,,373908.0313,487596.0313,843978,507661,199363.9844,395592,125647,527365,240901,261271,488088.9688,159720,506056,435966.0313,250884,350773,227800,1066030,200291,117916,83999,212942,529184,643945,254215.9844,625737,885257,653854
gamma-glutamylglutamate,Gamma-glutamyl Amino Acid,285757,179864,599291,213613,185403,491567,457826,355435,,119228,411422,1643228,1028891.938,749065,467429,986681,194198,547998,,1719687,470295,159936,682423,456102,305289,,453470,,625688,849279,3678555,1707476,81110,965452,1522502,,1062217,578116,1424314,110961,,770922,540011,489182,1098114,480128,328964,421404,,,248948,1414881,1787263,761735,915842,2398003
gamma-glutamylglutamine,Gamma-glutamyl Amino Acid,3788084,972831,1824299,934682,646296,1344963,1388883,1808940,1493922,2644640,700966,1468662,831798,1436761,1257440,610395,2250550,603373,655606,1485094.875,1219724,1093607,1028493,1600374,1229494,674369,1746479,2151104,798063,1549495,1914942.875,1642412.875,1674324,1076884,1448220,1497868,1525816,1975106,1383212,2312551,1394167.875,1242764,880662,1212548,1839298,1742070,676021,989611,752944.0625,960571.9375,1582474.875,1364766,656324,1888067,1569452,1352861
gamma-glutamylglycine,Gamma-glutamyl Amino Acid,,620256,,,,159705,481404,671382,,,,482450,420236,750679,,,,,,,,,1135265,,,,,,,600035,1143953.125,677520,,576929,,,,,650923.9375,,,332014,442867,543063,1751710,441451,,96180,,,,540837,356933,794298,,1039462
gamma-glutamylhistidine,Gamma-glutamyl Amino Acid,294313,,53854,,131884,,69164,190592,70863,443793,,104767,100031,65803,,,1737456,93680,79737,129314,89901,75071,267262,115996,506663,,114474,139638,282352,53460,211930,340665,94982,86041,351459.0313,154257,143547,452263,145503,,177260,,193585,85221,159778.0156,1135155,87371,,,254947,97662.9922,143384,,114768,82778,257752
gamma-glutamylisoleucine*,Gamma-glutamyl Amino Acid,194994,357108,258044,74296,244207,97136,582355,717755,139238,129302,154304,474985,175849,415827,353831,533863,149478,236616,253827,427500,547327,119466,774047.9375,264353,83297,117276,237693,147488,587482,379873,386860,386308,142703,377082.9688,172562,340963,135721,285400,582493,90340,476890,348681,223891,336768,403348,803765,167535,112707,86172.9922,174080,386771,606230,206046.9844,573714,115272,959306.0625
gamma-glutamylleucine,Gamma-glutamyl Amino Acid,200244,383640,190806,,182609,,280774,536991,105043,71571,107861,303582,,321084,193874,389686,106821,149281,150105,121812,333642,66352,489283,201489,,121705,207821,139307,318733,259978.0156,252786.0156,323527,,247406,112449,266222,175281,214989,384898,95484,340888,229002,,283410,262633,589680,117701,61422,,144792,292323,431867,106938,409870,56319,612298
gamma-glutamyl-alpha-lysine,Gamma-glutamyl Amino Acid,1290526,723034,928306.0625,226012.9844,540360,429204,1043178,1571276.875,611860,804486,386483,1085424,468973,1080278,404423,1030515.938,868320,753772,270561,698667,788715,454656.0313,1801253,497979.0313,442578,133025,588207,552460,596434,645814,2252824,941208,597480,421583,584788,953888,2414190,1200280,1028997,1193861,891613,529935,664431,885979,1157588,1291817,464049.9688,357174,274717,770976,769305,1250597,398666.0313,1384739,780234,2390487
gamma-glutamyl-epsilon-lysine,Gamma-glutamyl Amino Acid,2408563,977214.0625,1115487,720964,493923,730024,811487,1646371,744551,1654745,704874,889144,327054,625498,680488,1073300,1306350,554322,364225,1171208,908765,237842.0156,2250408,738739,389780,411677,908034,1881763,606790,974114.0625,1195934,1679742,1299884,492370,448780,953676.0625,1241964,822372,792464,2188114,1186544,757868,580395,1840550,1561827,1526969,507730.0313,616950,286405,1434623,1056140,664979,243707,2115099,1417262,612255
gamma-glutamylmethionine,Gamma-glutamyl Amino Acid,416651,491510,730996,82007,313219,130054.9922,563111,654829,168679,168313,360830,583820,845019,545253,483187.9688,477341,422861,326788,237726,7646759,413477,125459,981801,561905,181481,153992,264265,110446,1377936,477053,428503,1641382,166842,561041,682950,388939,262731,443816,639230,140470,510307.0313,470917,673794,443427,518449.9688,1555159,171513,173273,88772,282384,531132,633867,762299,560767,418332,943142
gamma-glutamylphenylalanine,Gamma-glutamyl Amino Acid,260244,476296,152776,,213495,,442321,657094,121125,107945,73524,389820,,363372,281181,414999.9688,114393,137653,181249,,410705,304016,734716,282516,,132320,265982,517030.0313,141088,367099,452884,305087,125359,375837.9688,94527,256567,176831,317217,580504,91108,342365,276682,186966,277122,375173.0313,743264.9375,121526.0078,57151.0039,,219712,349526,393270.9688,125768,421048,163378,766249
gamma-glutamylthreonine,Gamma-glutamyl Amino Acid,317884,436266,289811,103640,182712,220594,521612,525073,158934,162230,198682,684592,312408,505954,347210,319428,250534,243760.0156,227375,574407,536876,231654.0156,619035,429706,247403,,292442,108750,337899,397574,405280,481918,,465935.9688,300667,285875,219237,543726,695453,78681,412643.0313,341400,404958.9688,306666,374667.0313,681281,255129,201515,56951,239206,352552,728291.9375,353419,458927.9688,221440,1067759
gamma-glutamyltryptophan,Gamma-glutamyl Amino Acid,702873,120550,210704,102743,,139285,114903,170761,235043,533436,87539,119645,,116300,47268,96655,352324,,,153726,85646,204150.0156,301600,139555,,,165734,420268,,140585,115596,171286,148407,,161692,170951,119539,197025,85814,251607,154382,85834,,88330,202899,235548,,,,178040,199034,76688,,229740,172266,85642
gamma-glutamyltyrosine,Gamma-glutamyl Amino Acid,225074.0156,298301,163222,61721,130454.0078,,384506,333659,84988,80516,86854,273645,,337030,158648,298717,,229302,,,317840,109382,528870,225713,,,210907,117059,,316311,381592,336323,92183,341022,155783,214574,62689,240521.9844,402933,66845,226476.0156,195193,123480,177713,220737,600796,,113212,,138190,298074,353087,166812,367610,65852,552846
gamma-glutamylvaline,Gamma-glutamyl Amino Acid,,,,,517659,,741080,1072483,,,,876130,,,943854,881634,,,,,,,1091650,,,,,,447095,,951202,,,558826,,,,,,,,547713,,,,1078384,,,,,,766600,,1003194,,1835955.875
carnosine,Dipeptide Derivative,273833,,,,99221,,,,,157517,,,,,,25380,934258,,,,,,156962,,260848,,29042,95040,183961,,151804,103260,,65945,74743,71677,,191338,,,,,,,2704854,609697.9375,,19398,,113371,,325304,,122261,,45344
anserine,Dipeptide Derivative,9512252,840618,608389,,6224851,4770923,332261,,,920353,2026120,773218,391358,,684524,,3338997,2156385,1893824,1609437,464093.9688,,284183,,,240086,,2889617,7837885,597342,1415187,1822091,927493,2876218,8208356,470093,,3144218,1504280,,,896533,4284340,2919434,3458448,2820894,1448875,543581,1790580,2386208,1723375,3335785,2861288,1301167,593389,1783187
alanylleucine,Dipeptide,3512891,412854,859276,2141218,354627,496346.0313,1099999,473925,862531,1841304,939248,892954,480884,529334,886197,209100,2038344,848510.0625,359666,761199,497608.0313,341489,285048,651632,765722,2804116,1613566,11566934,406186,1312985,324688,343043,3091233,236577,574107,1042938,764196,1031799,470975,5268281.5,986812,835586,583983,3439436,928531,672103,381541,1251534,640493,885141,541083,491502,329805,481854,349198.9688,488690
glutaminylleucine,Dipeptide,601717.0625,,,613772,,317868,208124,,,,,13025,169364,59107,536638,,347509,276099,279899,,,,,183276,663983,1463467,644683,1315942,,546292,,,356949.9688,,140577,,,146279,225052,,,496785,318406,610380,,,246778,,184369,,,,98645,,,90027
glycylisoleucine,Dipeptide,37144252,19231614,15208830,13353542,9533632,9634507,13550176,21987342,12499877,16286985,11776155,13939622,8168239,11392014,10315466,10015732,15585395,8767393,8264391,17061696,13400337,10307932,13445796,17631344,12985308,7492515,21693704,17585034,13601000,6753386,,6161470,18233416,1457921,11098638,17858226,12856690,11334808,2624595,2569983,13993818,10327979,5476119,13836998,13980294,13250409,11807815,3864966,6588105.5,7723175,22702128,7802862,5002219,17196730,9345945,6034811.5
glycylleucine,Dipeptide,34833296,3884378.75,7985561.5,10268332,5892548,4816248,9786013,10119518,11382632,21058792,7041679,5142935,6483788,7157030,8835488,2092320,20380296,4438405,3609503.75,9737031,6274770,8056540,3244004,8427066,10274664,8504992,18722724,20222006,3815809,8243243.5,1918842,5927451,11732692,2479211,6054545,10770527,7807750.5,9867125,4774519,16584722,13131535,5795125,4557396,13627206,8444343,13072523,7212904,5765826,6585238,10019850,9092155,5061335,3001972,5859436,4744868,3657161.75
glycylvaline,Dipeptide,61031608,27929022,25072468,20131330,14454916,19127076,18998064,38284020,20730288,39509104,20492280,21521338,12388363,19312164,16913040,20715686,27315384,13235781,15580639,24302052,33748660,17358694,36218080,25519002,21524924,13463406,29372890,26604120,20435840,15153075,3221716,38019032,23159186,10797421,15320057,29724892,22345308,19622258,11495922,22138842,31364436,17130720,10937334,24442826,20035526,43306688,17596576,9859810,13461315,25095494,32760176,14376300,8189239,28956672,22813068,13041624
histidylalanine,Dipeptide,396331,91158,44698.9961,159039,,,,55455,47462,114702,,,,,,,185935,47324,,,88695,,23733,,,91495,27095,775420.0625,,46155,,,273296,,,83793,72527,,,443851,29111,24297,,296114,111682,40648,,,,92675,43172,,,83811,,
isoleucylglycine,Dipeptide,98424664,18446780,15641348,27709588,8614006,6996287,21850500,23570968,25458352,48145120,19113072,9364103,6710626,11667272,12724327,5834770,30742552,11997418,3839867,13446035,28295396,8094984.5,11461749,11347426,14972092,21022448,26418320,63528708,2865815,20530928,6637694,24955514,51568276,3555614,8288660,32979114,24477396,17256550,11304350,40072652,29082084,7844532.5,5308151,45309048,28459206,36772892,8400039,21237078,11585012,34239640,40283012,8234648,2650809,18613188,14134640,3283302
leucylalanine,Dipeptide,5687897,393034,723104,4145443.25,278570,518485.0313,1270654,745025,1826928.875,3510139,1955237,1057192,361211,263846,571507,195907,1273947,1713832,451522.0313,740534,913095,647094,307643,595827,700458,3480049,1747561,17768662,139810,1528269,539910,382387,5444922,168515,562219,1742038.125,1356082,1032269.938,929909,17144778,1248833,1340158,322362,2926235,1754165.125,1157625,331733,1956590,842762,1445393,1356992,637803,394113,949641,637624,323751
leucylglycine,Dipeptide,14150918,575345,1047876,4268339,441945,1593599,1790458,1256129,2350519,5765193.5,2557801,490118,460458,701214.0625,1364498,434921,2722948,2161954,734591,977369,937774,905279,404063.0313,947590,1765494,4405602,2417541,14446707,389525,2473740,467632,868793,6323079,430818,785914,2078418,1264643,1938941,1247582,7159423,2469997,890705,676991,5760117,2142617,3280980,1147317,1940480,1334744,2363475,1592308,898021,326683,1272421,722846,716598
lysylleucine,Dipeptide,1167365,,307440,419794,97425.0078,347919,,,,,,465142,278469,173035,797329,,1410452,,177654,514280,,221905,,256391,258446,1291234,1344754,4895715,243919,1533613,,,,461173,331751,475898,,838081,257353,3692631,612831,442667.0313,175473,,,435156,223652.0156,,360903.9688,,,224111.9844,165725,162406,,235333
phenylalanylalanine,Dipeptide,1128845,290007,323180,902908,72750,,275166,208072,232236,668444,370587,281807,,91015,166934,123136,253659.9844,230478,,199551,477770,,207070,156812,87717,277794,196518,2314471,,251945,115578,231021,1226442,,141017,406759,337055,186417,143977,12498674,240404,300174,83385,776332,511848.9688,284786,,324816,168223,472525.9688,391003,,99501,312234,114920,
phenylalanylglycine,Dipeptide,4023291.75,378803,574187,1466225,247588,277933,480481,450697,628360,1322540,1000550.938,167558,150953,231100,257283.9844,223910.0156,768319,990341,149074,322037,773500,215185,233539,251876,224893,911119.0625,345907,4960227,118460,423196.0313,164121,596434,2222640,74627,244237,765736,456767,417666,368192,4578708,681328,234635,166721,1937073,1055527,1205560,151036,660062,283086,1206325,866751,200413,157254,803924,319326,201834
prolylglycine,Dipeptide,363856,305942,164707,833773,497133,253726.0156,383973,562133,1690342,587842,205826,,226314,,,452999,693402,683225,226158,487143,2921899,693523,382626,,421505,357014,1290159,502571,395415,201968,396086,687510,238609,890616,276864,507831.9688,405957,,719768,2301111,358663,,386106,,624345,1531790,513058.0313,525196,,596860,465352,486831,,420311,659447,433241
threonylphenylalanine,Dipeptide,2981063,294517,362479,1009503,,226918,261284,,600182,1271357,655783,113615,61992,359915,148695,199594,291900,336059,46364,131063,,94280,170626,92038,146664,551532,426187,5598669,,544148,109703,191701,1473796,,108201,583161,162652,122886,,2400728,356358,106443,216716,1183044,910300,693562,,593411,71676,264200,471425,64238,,418484,102031,
tryptophylglycine,Dipeptide,1839376.875,92844,151094,711994,,94317,135945,167467,320161,1051741,436542,30979,,51297.0039,,59749,447875,179497,,94156.9922,104115,119240,112638.0078,32570,123526.0078,251566,173650,2591429,,196244,,117415.9922,721340,159538,,248283,190195,137234,87799,681234,202777,,,598094,459175.9688,309135,,254848.0156,137688,494525.9688,393617,362522,,220017.0156,98437,
tyrosylglycine,Dipeptide,651568,123152,144946,141764,25595,,,84213,109875,219432,147220,,,,28453,,176927,124469,,25525,254798,20674,50366,,,101371,24267,787652,,74047,,179873,587881,,,129340,92708,150536,,1298254,110098,,,433533,139109,280875,,106518,82202,189245,69414,,,148697,35272,40096
valylglutamine,Dipeptide,1682913,572097,568925,957916.0625,166684,232931,561629,295704,563236,1293353,616407,281162,172785,215432,306863,193741,1030661,405875,82032,251461,2543845,234595,262011,254351,264981,977820,807751.0625,2566204,,493382.0313,185519.0156,475618,1873303.875,146390,305236,422406.9688,566956,455227,180196,3284431,658603,220166,419294,1796377,1077886,605982,149668,777332,678331,282784,947955,314736,163602,587081,117570,156220
valylglycine,Dipeptide,14433006,2339620,1625227,2934787,872878,1722139,2167800,1371727,2352301,4657597,2216238,245765.0156,436579,1739782,1096177,405413,3862072.75,2570960,,591871,7032488,1881278,1499263,737267,949325,3367449,2291326,11797506,313439,1049638,56670,3553644,5663408,,615065,3763812,807618,1752821,1366062,8230797.5,3510051,,,6049589,4088116.25,6307994,520346,1847861,2045308,2900529,4205913,1336810,,2975028,533918,650931
